Número de Serie (Número de serie),ID (Número de serie),Nombre (en la base de datos),Cantidad actual,Ubicado en almacén,Tiene accesorios,Códigos QR,Estructura de la carpeta (Carpeta),Tipo de articulo (Carpeta),Código,Nombre (en la base de datos) 2,Tipo (posición/case/set),Nota externa
,,Cable Data USB2 - Lightning 3.5ft,3,08 E,0,1001070,Cables/Cables Data,Equipos,1118,Cable Data USB2 - Lightning 3.5ft,Articulo,
,,Cable Data USB2 - USB2 (B) 5ft,2,08 E,0,1001071,Cables/Cables Data,Equipos,1119,Cable Data USB2 - USB2 (B) 5ft,Articulo,
,,Cable Data USB2 - USB2 (B) 6ft,1,08 E,0,1001072,Cables/Cables Data,Equipos,1120,Cable Data USB2 - USB2 (B) 6ft,Articulo,
,,Cable Data USB3 Micro - USBC 1.5ft,2,08 E,0,1001073,Cables/Cables Data,Equipos,1121,Cable Data USB3 Micro - USBC 1.5ft,Articulo,
,,Cable Data Thunderbolt 3 3ft,3,08 E,0,1001074,Cables/Cables Data,Equipos,1122,Cable Data Thunderbolt 3 3ft,Articulo,
,,Cable Data Thunderbolt 3 1.5ft,4,08 E,0,1001075,Cables/Cables Data,Equipos,1123,Cable Data Thunderbolt 3 1.5ft,Articulo,
,,Cable Data Thunderbolt 3 6.5ft,3,08 E,0,1001076,Cables/Cables Data,Equipos,1124,Cable Data Thunderbolt 3 6.5ft,Articulo,
,,Cable Data USBC 3ft,1,08 E,0,1001077,Cables/Cables Data,Equipos,1125,Cable Data USBC 3ft,Articulo,
,,Cable Data Thunderbolt 2 6.5ft,2,08 E,0,1001078,Cables/Cables Data,Equipos,1126,Cable Data Thunderbolt 2 6.5ft,Articulo,
,,Cable Network Optic Fiber 3.5ft,1,07 E,0,1001080,Cables/Cables Network,Equipos,1128,Cable Network Optic Fiber 3.5ft,Articulo,
,,Power AC Hub Promise TD-300 Dock Station,1,,0,1001081,Power/Alimentadores AC/Asignados,Equipos,1129,Power AC Hub Promise TD-300 Dock Station,Articulo,
,,Power AC Switch Monoprice 2In-1Out,2,,0,1001082,Power/Alimentadores AC/Asignados,Equipos,1130,Power AC Switch Monoprice 2In-1Out,Articulo,
,,Switch Monoprice 4Out-1In,1,,1,1001083,Capture & Playback,Equipos,1131,Switch Monoprice 4Out-1In,Articulo,
,,Power AC Switch Monoprice 4Out-1In,1,,0,1001084,Power/Alimentadores AC/Asignados,Equipos,1132,Power AC Switch Monoprice 4Out-1In,Articulo,
,,Adaptador Apple Thunderbolt 2 - Network,2,08 D,0,1001089,Accesorios/Accesorios Data,Equipos,1133,Adaptador Apple Thunderbolt 2 - Network,Articulo,
,,"Cable AC RED Mag 1.8"" USB2",2,,0,1001095,Power/Alimentadores AC/Asignados,Equipos,1134,"Cable AC RED Mag 1.8"" USB2",Articulo,
U64894F1Z393383,200,Impresora Label Brother QL-1110NWB,1,LABEL,1,1001098,Accesorios/Impresoras,Equipos,1135,Impresora Label Brother QL-1110NWB,Articulo,
,,Power AC Impresora Brother QL-1110NWB,1,,0,1001100,Power/Alimentadores AC/Asignados,Equipos,1136,Power AC Impresora Brother QL-1110NWB,Articulo,
2038521,202,Monitor Blackmagic SmartScope Duo,1,,0,1001102,Monitores,Equipos,1137,Monitor Blackmagic SmartScope Duo,Articulo,
,,Power AC Monitor BM SmartScope Duo,1,,0,1001104,Power/Alimentadores AC/Asignados,Equipos,1138,Power AC Monitor BM SmartScope Duo,Articulo,
,,Power AC Ventilador AC Infinity Rack,1,,0,1001106,Power/Alimentadores AC/Asignados,Equipos,1139,Power AC Ventilador AC Infinity Rack,Articulo,
,,UPS CyberPower CPS-1215RM Rack,1,,0,1001107,Power/UPS,Equipos,1140,UPS CyberPower CPS-1215RM Rack,Articulo,
,,Power AC Monitor Dell,2,,0,1001108,Power/Alimentadores AC/Asignados,Equipos,1141,Power AC Monitor Dell,Articulo,
Y2050A6002003,204,Router TP-Link Archer A20,1,,1,1001109,Wireless Systems,Equipos,1142,Router TP-Link Archer A20,Articulo,
,,Power AC Router TP-Link Archer A20,1,,0,1001111,Power/Alimentadores AC/Asignados,Equipos,1143,Power AC Router TP-Link Archer A20,Articulo,
,,Cable Sensor AC Infinity,1,,0,1001115,Accesorios,Equipos,1145,Cable Sensor AC Infinity,Articulo,
,,Regleta Genérica 6 Entradas (Black),3,02 A,0,1001118,Power/Regletas,Equipos,1146,Regleta Genérica 6 Entradas (Black),Articulo,
,,Cable Data USB3 - USB3 (B) 5ft,1,08 E,0,1001122,Cables/Cables Data,Equipos,1147,Cable Data USB3 - USB3 (B) 5ft,Articulo,
,,Color Chart DataColor FadeCheckr w/ Case,1,,0,1001123,Accesorios/Accesorios Color,Equipos,1148,Color Chart DataColor FadeCheckr w/ Case,Articulo,
,,Regleta Forza 6 Entradas,1,02 A,0,1001124,Power/Regletas,Equipos,1149,Regleta Forza 6 Entradas,Articulo,
,,Pilas Recargables Watson MX 4Set,3,,0,1001125,Power/Baterías,Equipos,1150,Pilas Recargables Watson MX 4Set,Articulo,
7TC004X7,212,Seagate IronWolf 125 1TB SSD,12,,0,1001126,Archiving/Hardrives,Equipos,1151,Seagate IronWolf 125 1TB SSD,Articulo,
7TC0052Y,213,Seagate IronWolf 125 1TB SSD,12,,0,1001126,Archiving/Hardrives,Equipos,1151,Seagate IronWolf 125 1TB SSD,Articulo,
7TC004XC,214,Seagate IronWolf 125 1TB SSD,12,,0,1001126,Archiving/Hardrives,Equipos,1151,Seagate IronWolf 125 1TB SSD,Articulo,
7TC004ZC,215,Seagate IronWolf 125 1TB SSD,12,,0,1001126,Archiving/Hardrives,Equipos,1151,Seagate IronWolf 125 1TB SSD,Articulo,
7TC0059J,216,Seagate IronWolf 125 1TB SSD,12,,0,1001126,Archiving/Hardrives,Equipos,1151,Seagate IronWolf 125 1TB SSD,Articulo,
7TC004WZ,217,Seagate IronWolf 125 1TB SSD,12,,0,1001126,Archiving/Hardrives,Equipos,1151,Seagate IronWolf 125 1TB SSD,Articulo,
7TC0054F,218,Seagate IronWolf 125 1TB SSD,12,,0,1001126,Archiving/Hardrives,Equipos,1151,Seagate IronWolf 125 1TB SSD,Articulo,
7TC0050J,219,Seagate IronWolf 125 1TB SSD,12,,0,1001126,Archiving/Hardrives,Equipos,1151,Seagate IronWolf 125 1TB SSD,Articulo,
7TC004ZQ,220,Seagate IronWolf 125 1TB SSD,12,,0,1001126,Archiving/Hardrives,Equipos,1151,Seagate IronWolf 125 1TB SSD,Articulo,
7TC0059B,221,Seagate IronWolf 125 1TB SSD,12,,0,1001126,Archiving/Hardrives,Equipos,1151,Seagate IronWolf 125 1TB SSD,Articulo,
7TC004YN,222,Seagate IronWolf 125 1TB SSD,12,,0,1001126,Archiving/Hardrives,Equipos,1151,Seagate IronWolf 125 1TB SSD,Articulo,
7TC005CC,223,Seagate IronWolf 125 1TB SSD,12,,0,1001126,Archiving/Hardrives,Equipos,1151,Seagate IronWolf 125 1TB SSD,Articulo,
21115Z800059,224,Western Digital WD RED SA500 1TB SSD,4,,0,1001139,Archiving/Hardrives,Equipos,1152,Western Digital WD RED SA500 1TB SSD,Articulo,
21115Z800076,225,Western Digital WD RED SA500 1TB SSD,4,,0,1001139,Archiving/Hardrives,Equipos,1152,Western Digital WD RED SA500 1TB SSD,Articulo,
21115Z800002,226,Western Digital WD RED SA500 1TB SSD,4,,0,1001139,Archiving/Hardrives,Equipos,1152,Western Digital WD RED SA500 1TB SSD,Articulo,
21115Z800051,227,Western Digital WD RED SA500 1TB SSD,4,,0,1001139,Archiving/Hardrives,Equipos,1152,Western Digital WD RED SA500 1TB SSD,Articulo,
,,Cargador Pilas Recargables 4U GP,1,,0,1001144,Power/Cargadores,Equipos,1153,Cargador Pilas Recargables 4U GP,Articulo,
20090055,228,Video Signal Tester Prophecy,1,,0,1001145,Accesorios,Equipos,1154,Video Signal Tester Prophecy,Articulo,
,,Power AC Video Signal Tester Prophecy,1,,0,1001147,Power/Alimentadores AC/Asignados,Equipos,1155,Power AC Video Signal Tester Prophecy,Articulo,
,,Cable Data USBC 1.5ft,3,08 E,0,1001148,Cables/Cables Data,Equipos,1156,Cable Data USBC 1.5ft,Articulo,
,,Cable Data USB3 Micro - USBC 2ft,1,08 E,0,1001149,Cables/Cables Data,Equipos,1157,Cable Data USB3 Micro - USBC 2ft,Articulo,
,,cable Data USB3 Micro - USBC 1ft,3,08 E,0,1001150,Cables/Cables Data,Equipos,1158,cable Data USB3 Micro - USBC 1ft,Articulo,
,,Cargador Pilas Recargables Duracell 4U,1,,0,1001151,Power/Cargadores,Equipos,1159,Cargador Pilas Recargables Duracell 4U,Articulo,
MODULDATA01C,229,Full Case Data / DIT Modulo D,0,07 D,0,1001152,Full Cases/Kits,Equipos,1160,Full Case Data / DIT Modulo D,case,
,,Cable AC XLR 4 Pin 3.5ft,4,02 A,0,1001154,Power/Alimentadores AC/No Asignados,Equipos,1161,Cable AC XLR 4 Pin 3.5ft,Articulo,
,,Regleta Genérica 5 Entradas/USB (White),2,02 A,0,1001155,Power/Regletas,Equipos,1162,Regleta Genérica 5 Entradas/USB (White),Articulo,
,,Regleta Genérica 6 Entradas (White),2,02 A,0,1001156,Power/Regletas,Equipos,1163,Regleta Genérica 6 Entradas (White),Articulo,
,,Adaptador Eléctrico 3 Pin / 2 Pin,1,,0,1001157,Accesorios,Equipos,1164,Adaptador Eléctrico 3 Pin / 2 Pin,Articulo,
7TD003VR,230,Seagate IronWolf 125  2TB SSD,8,,0,1001158,Archiving/Hardrives,Equipos,1165,Seagate IronWolf 125  2TB SSD,Articulo,
7TD003W0,231,Seagate IronWolf 125  2TB SSD,8,,0,1001158,Archiving/Hardrives,Equipos,1165,Seagate IronWolf 125  2TB SSD,Articulo,
7TD0046G,232,Seagate IronWolf 125  2TB SSD,8,,0,1001158,Archiving/Hardrives,Equipos,1165,Seagate IronWolf 125  2TB SSD,Articulo,
7TD0046J,233,Seagate IronWolf 125  2TB SSD,8,,0,1001158,Archiving/Hardrives,Equipos,1165,Seagate IronWolf 125  2TB SSD,Articulo,
7TD003YT,234,Seagate IronWolf 125  2TB SSD,8,,0,1001158,Archiving/Hardrives,Equipos,1165,Seagate IronWolf 125  2TB SSD,Articulo,
7TD00477,235,Seagate IronWolf 125  2TB SSD,8,,0,1001158,Archiving/Hardrives,Equipos,1165,Seagate IronWolf 125  2TB SSD,Articulo,
7TD0040X,236,Seagate IronWolf 125  2TB SSD,8,,0,1001158,Archiving/Hardrives,Equipos,1165,Seagate IronWolf 125  2TB SSD,Articulo,
7TD0044R,237,Seagate IronWolf 125  2TB SSD,8,,0,1001158,Archiving/Hardrives,Equipos,1165,Seagate IronWolf 125  2TB SSD,Articulo,
21084H800464,238,Western Digital WD RED SA500 2TB SSD,8,,0,1001167,Archiving/Hardrives,Equipos,1166,Western Digital WD RED SA500 2TB SSD,Articulo,
21084H800516,239,Western Digital WD RED SA500 2TB SSD,8,,0,1001167,Archiving/Hardrives,Equipos,1166,Western Digital WD RED SA500 2TB SSD,Articulo,
21084H800532,240,Western Digital WD RED SA500 2TB SSD,8,,0,1001167,Archiving/Hardrives,Equipos,1166,Western Digital WD RED SA500 2TB SSD,Articulo,
21084H800454,241,Western Digital WD RED SA500 2TB SSD,8,,0,1001167,Archiving/Hardrives,Equipos,1166,Western Digital WD RED SA500 2TB SSD,Articulo,
7TD0047M,242,Western Digital WD RED SA500 2TB SSD,8,,0,1001167,Archiving/Hardrives,Equipos,1166,Western Digital WD RED SA500 2TB SSD,Articulo,
7TD0046N,243,Western Digital WD RED SA500 2TB SSD,8,,0,1001167,Archiving/Hardrives,Equipos,1166,Western Digital WD RED SA500 2TB SSD,Articulo,
7TD0040J,244,Western Digital WD RED SA500 2TB SSD,8,,0,1001167,Archiving/Hardrives,Equipos,1166,Western Digital WD RED SA500 2TB SSD,Articulo,
7TD0047C,245,Western Digital WD RED SA500 2TB SSD,8,,0,1001167,Archiving/Hardrives,Equipos,1166,Western Digital WD RED SA500 2TB SSD,Articulo,
2940003457,252,Drive Set OWC Shuttle 02 (2TBx4),1,STORAGE 01,1,1001182,Archiving/Drives Sets,Equipos,1167,Drive Set OWC Shuttle 02 (2TBx4),case,
2940003463,253,Drive Set OWC Shuttle 03 (1TBx4),1,STORAGE 01,1,1001184,Archiving/Drives Sets,Equipos,1168,Drive Set OWC Shuttle 03 (1TBx4),case,
2940003333,254,Drive Set OWC Shuttle 06 (2TBx4),1,STORAGE 01,1,1001186,Archiving/Drives Sets,Equipos,1169,Drive Set OWC Shuttle 06 (2TBx4),case,
2940003455,255,Drive Set OWC Shuttle 08  (2TBx4),1,STORAGE 01,1,1001188,Archiving/Drives Sets,Equipos,1170,Drive Set OWC Shuttle 08  (2TBx4),case,
,,Case Pelican iM2500 (Storm Case),1,,0,1001192,Maletas/Cases/Bultos/Cases,Equipos,1171,Case Pelican iM2500 (Storm Case),Articulo,
2940003101,262,Drive Set OWC Shuttle 01 (1TBx4),1,STORAGE 01,1,1001203,Archiving/Drives Sets,Equipos,1178,Drive Set OWC Shuttle 01 (1TBx4),case,
2940003735,263,Drive Set OWC Shuttle 04  (2TBx4),1,STORAGE 01,1,1001205,Archiving/Drives Sets,Equipos,1179,Drive Set OWC Shuttle 04  (2TBx4),case,
2940003469,264,Drive Set OWC Shuttle 05 (1TBx4),1,STORAGE 01,1,1001207,Archiving/Drives Sets,Equipos,1180,Drive Set OWC Shuttle 05 (1TBx4),case,
2940003374,265,Drive Set OWC Shuttle 07 (1TBx4),1,STORAGE 01,1,1001209,Archiving/Drives Sets,Equipos,1181,Drive Set OWC Shuttle 07 (1TBx4),case,
CLRPANELEM01,266,Color Panels Tangent Element,1,,0,1001211,Consola/Video,Equipos,1182,Color Panels Tangent Element,case,
Z4D07GKX,267,Disco Seagate Desktop 6TB,2,STORAGE 01,0,1001213,Archiving/Hardrives,Equipos,1183,Disco Seagate Desktop 6TB,Articulo,"Tipo :HDD 

Velocidad :7200 RPM"
Z4D03ANM,268,Disco Seagate Desktop 6TB,2,STORAGE 01,0,1001213,Archiving/Hardrives,Equipos,1183,Disco Seagate Desktop 6TB,Articulo,"Tipo :HDD 

Velocidad :7200 RPM"
K8G04U0N,269,Disco Western Digital Red Pro 6TB,1,STORAGE 01,0,1001216,Archiving/Hardrives,Equipos,1184,Disco Western Digital Red Pro 6TB,Articulo,"Tipo :HDD 

Velocidad :7200 RPM"
ZADBCVH0,270,Disco Seagate IronWolf NAS 6TB,8,STORAGE 01,0,1001218,Archiving/Hardrives,Equipos,1185,Disco Seagate IronWolf NAS 6TB,Articulo,"Tipo : HDD

Velocidad : 7200 RPM"
ZADBCVMM,271,Disco Seagate IronWolf NAS 6TB,8,STORAGE 01,0,1001218,Archiving/Hardrives,Equipos,1185,Disco Seagate IronWolf NAS 6TB,Articulo,"Tipo : HDD

Velocidad : 7200 RPM"
ZADBCLWT,272,Disco Seagate IronWolf NAS 6TB,8,STORAGE 01,0,1001218,Archiving/Hardrives,Equipos,1185,Disco Seagate IronWolf NAS 6TB,Articulo,"Tipo : HDD

Velocidad : 7200 RPM"
ZADBCMG1,273,Disco Seagate IronWolf NAS 6TB,8,STORAGE 01,0,1001218,Archiving/Hardrives,Equipos,1185,Disco Seagate IronWolf NAS 6TB,Articulo,"Tipo : HDD

Velocidad : 7200 RPM"
ZAD3FLQR,274,Disco Seagate IronWolf NAS 6TB,8,STORAGE 01,0,1001218,Archiving/Hardrives,Equipos,1185,Disco Seagate IronWolf NAS 6TB,Articulo,"Tipo : HDD

Velocidad : 7200 RPM"
ZAD3GKD9,275,Disco Seagate IronWolf NAS 6TB,8,STORAGE 01,0,1001218,Archiving/Hardrives,Equipos,1185,Disco Seagate IronWolf NAS 6TB,Articulo,"Tipo : HDD

Velocidad : 7200 RPM"
ZR10E1TB,276,Disco Seagate IronWolf NAS 6TB,8,STORAGE 01,0,1001218,Archiving/Hardrives,Equipos,1185,Disco Seagate IronWolf NAS 6TB,Articulo,"Tipo : HDD

Velocidad : 7200 RPM"
ZR10E1T9,277,Disco Seagate IronWolf NAS 6TB,8,STORAGE 01,0,1001218,Archiving/Hardrives,Equipos,1185,Disco Seagate IronWolf NAS 6TB,Articulo,"Tipo : HDD

Velocidad : 7200 RPM"
WF203XLM,278,Disco Seagate Barracuda COMPUTE 6TB,4,STORAGE 01,0,1001227,Archiving/Hardrives,Equipos,1186,Disco Seagate Barracuda COMPUTE 6TB,Articulo," 


Tipo : HDD

Velocidad : 5400 RPM"
WF203XBG,279,Disco Seagate Barracuda COMPUTE 6TB,4,STORAGE 01,0,1001227,Archiving/Hardrives,Equipos,1186,Disco Seagate Barracuda COMPUTE 6TB,Articulo," 


Tipo : HDD

Velocidad : 5400 RPM"
WF203X4Z,280,Disco Seagate Barracuda COMPUTE 6TB,4,STORAGE 01,0,1001227,Archiving/Hardrives,Equipos,1186,Disco Seagate Barracuda COMPUTE 6TB,Articulo," 


Tipo : HDD

Velocidad : 5400 RPM"
WF203S6B,281,Disco Seagate Barracuda COMPUTE 6TB,4,STORAGE 01,0,1001227,Archiving/Hardrives,Equipos,1186,Disco Seagate Barracuda COMPUTE 6TB,Articulo," 


Tipo : HDD

Velocidad : 5400 RPM"
WCC7K6ATUVRX,282,Disco Western Digital Purple 4TB,2,STORAGE 01,0,1001232,Archiving/Hardrives,Equipos,1187,Disco Western Digital Purple 4TB,Articulo," 


Tipo : HDD

Velocidad : 5400 RPM"
WCC7K0RHCK4F,283,Disco Western Digital Purple 4TB,2,STORAGE 01,0,1001232,Archiving/Hardrives,Equipos,1187,Disco Western Digital Purple 4TB,Articulo," 


Tipo : HDD

Velocidad : 5400 RPM"
ZDH2DQJ1,284,Disco Seagate Barracuda COMPUTE 4TB,7,STORAGE 01,0,1001235,Archiving/Hardrives,Equipos,1188,Disco Seagate Barracuda COMPUTE 4TB,Articulo," 


Tipo : HDD

Velocidad : 7200 RPM"
WFN03EFP,285,Disco Seagate Barracuda COMPUTE 4TB,7,STORAGE 01,0,1001235,Archiving/Hardrives,Equipos,1188,Disco Seagate Barracuda COMPUTE 4TB,Articulo," 


Tipo : HDD

Velocidad : 7200 RPM"
ZDH2DR5H,286,Disco Seagate Barracuda COMPUTE 4TB,7,STORAGE 01,0,1001235,Archiving/Hardrives,Equipos,1188,Disco Seagate Barracuda COMPUTE 4TB,Articulo," 


Tipo : HDD

Velocidad : 7200 RPM"
ZDH2DQQZ,287,Disco Seagate Barracuda COMPUTE 4TB,7,STORAGE 01,0,1001235,Archiving/Hardrives,Equipos,1188,Disco Seagate Barracuda COMPUTE 4TB,Articulo," 


Tipo : HDD

Velocidad : 7200 RPM"
ZDH2DQLK,288,Disco Seagate Barracuda COMPUTE 4TB,7,STORAGE 01,0,1001235,Archiving/Hardrives,Equipos,1188,Disco Seagate Barracuda COMPUTE 4TB,Articulo," 


Tipo : HDD

Velocidad : 7200 RPM"
ZDH2DYWP,289,Disco Seagate Barracuda COMPUTE 4TB,7,STORAGE 01,0,1001235,Archiving/Hardrives,Equipos,1188,Disco Seagate Barracuda COMPUTE 4TB,Articulo," 


Tipo : HDD

Velocidad : 7200 RPM"
WGY0DTX4,290,Disco Seagate Barracuda COMPUTE 4TB,7,STORAGE 01,0,1001235,Archiving/Hardrives,Equipos,1188,Disco Seagate Barracuda COMPUTE 4TB,Articulo," 


Tipo : HDD

Velocidad : 7200 RPM"
PCGH47ZN,291,Disco HGST APR-2015 4TB,1,STORAGE 01,0,1001243,Archiving/Hardrives,Equipos,1189,Disco HGST APR-2015 4TB,Articulo," 


Tipo : HDD

Velocidad : 7200 RPM"
PCGH47ZN,292,Disco HGST AUG-2014 4TB,1,STORAGE 01,0,1001245,Archiving/Hardrives,Equipos,1190,Disco HGST AUG-2014 4TB,Articulo,"Tipo : HDD

Velocidad : 7200 RPM"
WFN02PVV,293,Disco Seagate Barracuda COMPUTE 4TB,2,STORAGE 01,0,1001247,Archiving/Hardrives,Equipos,1191,Disco Seagate Barracuda COMPUTE 4TB,Articulo,"Tipo : HDD

Velocidad : 5400 RPM"
WFN03BJK,294,Disco Seagate Barracuda COMPUTE 4TB,2,STORAGE 01,0,1001247,Archiving/Hardrives,Equipos,1191,Disco Seagate Barracuda COMPUTE 4TB,Articulo,"Tipo : HDD

Velocidad : 5400 RPM"
Z4Z90SBL,295,DiscoSeagate Barracuda COMPUTE,2,STORAGE 01,0,1001250,Archiving/Hardrives,Equipos,1192,DiscoSeagate Barracuda COMPUTE,Articulo,"Tipo : HDD

Velocidad : 7200 RPM"
Z4Z911QF,296,DiscoSeagate Barracuda COMPUTE,2,STORAGE 01,0,1001250,Archiving/Hardrives,Equipos,1192,DiscoSeagate Barracuda COMPUTE,Articulo,"Tipo : HDD

Velocidad : 7200 RPM"
WCC4M4TRP5N4,297,Disco Western Digital Green 2TB,1,STORAGE 01,0,1001253,Archiving/Hardrives,Equipos,1193,Disco Western Digital Green 2TB,Articulo,"Tipo : HDD

Velocidad : 5400 RPM"
WSD1DBL7,298,Disco Seagate IronWolf NAS 8TB,26,STORAGE 01,0,1001255,Archiving/Hardrives,Equipos,1194,Disco Seagate IronWolf NAS 8TB,Articulo,"Tipo : HDD

Velocidad : 7200 RPM"
WSD10CJB,299,Disco Seagate IronWolf NAS 8TB,26,STORAGE 01,0,1001255,Archiving/Hardrives,Equipos,1194,Disco Seagate IronWolf NAS 8TB,Articulo,"Tipo : HDD

Velocidad : 7200 RPM"
WSD19NRV,300,Disco Seagate IronWolf NAS 8TB,26,STORAGE 01,0,1001255,Archiving/Hardrives,Equipos,1194,Disco Seagate IronWolf NAS 8TB,Articulo,"Tipo : HDD

Velocidad : 7200 RPM"
WSD1DBPY,301,Disco Seagate IronWolf NAS 8TB,26,STORAGE 01,0,1001255,Archiving/Hardrives,Equipos,1194,Disco Seagate IronWolf NAS 8TB,Articulo,"Tipo : HDD

Velocidad : 7200 RPM"
WSD0NYMF,302,Disco Seagate IronWolf NAS 8TB,26,STORAGE 01,0,1001255,Archiving/Hardrives,Equipos,1194,Disco Seagate IronWolf NAS 8TB,Articulo,"Tipo : HDD

Velocidad : 7200 RPM"
WSD09PZ7,303,Disco Seagate IronWolf NAS 8TB,26,STORAGE 01,0,1001255,Archiving/Hardrives,Equipos,1194,Disco Seagate IronWolf NAS 8TB,Articulo,"Tipo : HDD

Velocidad : 7200 RPM"
WSD0V35J,304,Disco Seagate IronWolf NAS 8TB,26,STORAGE 01,0,1001255,Archiving/Hardrives,Equipos,1194,Disco Seagate IronWolf NAS 8TB,Articulo,"Tipo : HDD

Velocidad : 7200 RPM"
WSD0JZXM,305,Disco Seagate IronWolf NAS 8TB,26,STORAGE 01,0,1001255,Archiving/Hardrives,Equipos,1194,Disco Seagate IronWolf NAS 8TB,Articulo,"Tipo : HDD

Velocidad : 7200 RPM"
WSD1DAJ3,306,Disco Seagate IronWolf NAS 8TB,26,STORAGE 01,0,1001255,Archiving/Hardrives,Equipos,1194,Disco Seagate IronWolf NAS 8TB,Articulo,"Tipo : HDD

Velocidad : 7200 RPM"
WSD1DAPY,307,Disco Seagate IronWolf NAS 8TB,26,STORAGE 01,0,1001255,Archiving/Hardrives,Equipos,1194,Disco Seagate IronWolf NAS 8TB,Articulo,"Tipo : HDD

Velocidad : 7200 RPM"
WSD2ARDR,308,Disco Seagate IronWolf NAS 8TB,26,STORAGE 01,0,1001255,Archiving/Hardrives,Equipos,1194,Disco Seagate IronWolf NAS 8TB,Articulo,"Tipo : HDD

Velocidad : 7200 RPM"
WSD2HAYQ,309,Disco Seagate IronWolf NAS 8TB,26,STORAGE 01,0,1001255,Archiving/Hardrives,Equipos,1194,Disco Seagate IronWolf NAS 8TB,Articulo,"Tipo : HDD

Velocidad : 7200 RPM"
WSD0JZVH,310,Disco Seagate IronWolf NAS 8TB,26,STORAGE 01,0,1001255,Archiving/Hardrives,Equipos,1194,Disco Seagate IronWolf NAS 8TB,Articulo,"Tipo : HDD

Velocidad : 7200 RPM"
WSD0JZXL,311,Disco Seagate IronWolf NAS 8TB,26,STORAGE 01,0,1001255,Archiving/Hardrives,Equipos,1194,Disco Seagate IronWolf NAS 8TB,Articulo,"Tipo : HDD

Velocidad : 7200 RPM"
WSD046PX,312,Disco Seagate IronWolf NAS 8TB,26,STORAGE 01,0,1001255,Archiving/Hardrives,Equipos,1194,Disco Seagate IronWolf NAS 8TB,Articulo,"Tipo : HDD

Velocidad : 7200 RPM"
WSD1DB1B,313,Disco Seagate IronWolf NAS 8TB,26,STORAGE 01,0,1001255,Archiving/Hardrives,Equipos,1194,Disco Seagate IronWolf NAS 8TB,Articulo,"Tipo : HDD

Velocidad : 7200 RPM"
WSD15Z3L,314,Disco Seagate IronWolf NAS 8TB,26,STORAGE 01,0,1001255,Archiving/Hardrives,Equipos,1194,Disco Seagate IronWolf NAS 8TB,Articulo,"Tipo : HDD

Velocidad : 7200 RPM"
WSD086J0,315,Disco Seagate IronWolf NAS 8TB,26,STORAGE 01,0,1001255,Archiving/Hardrives,Equipos,1194,Disco Seagate IronWolf NAS 8TB,Articulo,"Tipo : HDD

Velocidad : 7200 RPM"
WSD2BV70,316,Disco Seagate IronWolf NAS 8TB,26,STORAGE 01,0,1001255,Archiving/Hardrives,Equipos,1194,Disco Seagate IronWolf NAS 8TB,Articulo,"Tipo : HDD

Velocidad : 7200 RPM"
WSD08SA1,317,Disco Seagate IronWolf NAS 8TB,26,STORAGE 01,0,1001255,Archiving/Hardrives,Equipos,1194,Disco Seagate IronWolf NAS 8TB,Articulo,"Tipo : HDD

Velocidad : 7200 RPM"
WSD2HA8Z,318,Disco Seagate IronWolf NAS 8TB,26,STORAGE 01,0,1001255,Archiving/Hardrives,Equipos,1194,Disco Seagate IronWolf NAS 8TB,Articulo,"Tipo : HDD

Velocidad : 7200 RPM"
WSD0FKJW,319,Disco Seagate IronWolf NAS 8TB,26,STORAGE 01,0,1001255,Archiving/Hardrives,Equipos,1194,Disco Seagate IronWolf NAS 8TB,Articulo,"Tipo : HDD

Velocidad : 7200 RPM"
WSD2H0V5,320,Disco Seagate IronWolf NAS 8TB,26,STORAGE 01,0,1001255,Archiving/Hardrives,Equipos,1194,Disco Seagate IronWolf NAS 8TB,Articulo,"Tipo : HDD

Velocidad : 7200 RPM"
WSD1D2CH,321,Disco Seagate IronWolf NAS 8TB,26,STORAGE 01,0,1001255,Archiving/Hardrives,Equipos,1194,Disco Seagate IronWolf NAS 8TB,Articulo,"Tipo : HDD

Velocidad : 7200 RPM"
WSD15X01,322,Disco Seagate IronWolf NAS 8TB,26,STORAGE 01,0,1001255,Archiving/Hardrives,Equipos,1194,Disco Seagate IronWolf NAS 8TB,Articulo,"Tipo : HDD

Velocidad : 7200 RPM"
WSD2VJJ5,323,Disco Seagate IronWolf NAS 8TB,26,STORAGE 01,0,1001255,Archiving/Hardrives,Equipos,1194,Disco Seagate IronWolf NAS 8TB,Articulo,"Tipo : HDD

Velocidad : 7200 RPM"
7TC004X7,324,Disco Seagate IronWolf 125 1TB,12,STORAGE 01,0,1001282,Archiving/Hardrives,Equipos,1195,Disco Seagate IronWolf 125 1TB,Articulo,"Tipo : SDD

Velocidad : SATA 6Gb/s"
7TC0052Y,325,Disco Seagate IronWolf 125 1TB,12,STORAGE 01,0,1001282,Archiving/Hardrives,Equipos,1195,Disco Seagate IronWolf 125 1TB,Articulo,"Tipo : SDD

Velocidad : SATA 6Gb/s"
7TC004XC,326,Disco Seagate IronWolf 125 1TB,12,STORAGE 01,0,1001282,Archiving/Hardrives,Equipos,1195,Disco Seagate IronWolf 125 1TB,Articulo,"Tipo : SDD

Velocidad : SATA 6Gb/s"
